Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
Mod Design	1	@	@	7	@	@	@	@	@	19	@	@	@	@	@	@	@	
Server Design	1	@	@	7	@	@	@	@	@	19	@	@	@	@	@	@	@	
Minecraft Animators	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Designers	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft® Animators	1	@	@	7	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Camp	1	@	@	7	@	@	@	@	@	19	20	24	@	@	@	@	@	
Minecraft 3D Printing	1	@	@	0	7	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Modding 	1	@	@	2	7	@	@	@	@	19	@	@	@	@	@	@	@	
Snapology's Minecraft 1 & 2 Summer at Talley	1	@	@	6	7	@	@	@	@	21	24	@	@	@	@	@	@	
Engineering Camp	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Artificial Intelligence	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Science	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Science	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Artificial Intelligence	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Code Secrets	1	@	@	9	@	@	@	@	@	5	@	@	@	@	@	@	@	
Introduction to Circuitry	0	@	@	9	@	@	@	@	@	5	@	@	@	@	@	@	@	
PC Builders Academy	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Printer Builders	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
How Computers Think	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Do You Arduino? (Maker/Computer Engineering)	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Raspberry Pi (Maker/Computer Engineering	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Digital Makers, Cyber Defenders and Internet Creators	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Camp I	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Arduino Network Team	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computational Biology Camp	1	@	@	9	@	@	@	@	@	27	@	@	@	@	@	@	@	
Cyber Security	1	@	@	9	@	@	@	@	@	5	@	@	@	@	@	@	@	
 STEM Summer Camp	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Young Women's Summer Institute (residential)	0	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
4-H Camp Tech (residential)	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
camp Watonka	4	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Adventures in Robotics and Programming with LEGO® EV3	1	@	@	1	@	@	@	@	@	21	@	@	@	@	@	@	@	
TEC Camp	0	@	@	1	@	@	@	@	@	72	@	@	@	@	@	@	@	
Camp C3	1	@	@	1	@	@	@	@	@	72	@	@	@	@	@	@	@	
Purdue University Computer Science Camp	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Camp Alpha: Computing with Alice	1	@	@	1	@	@	@	@	@	3	@	@	@	@	@	@	@	
Rock Chalk Jayhawk Code KU! (Beginning Code)	1	@	@	1	@	@	@	@	@	4	@	@	@	@	@	@	@	
Adventures in Engineering& Electronics with Arduino	1	@	@	1	@	@	@	@	@	5	@	@	@	@	@	@	@	
Park Tudor - "Computer Science - An Introduction"	1	@	@	1	@	@	@	@	@	45	@	@	@	@	@	@	@	
C++ Programming Honors	1	@	@	1	@	@	@	@	@	10	@	@	@	@	@	@	@	
iD Programming Academy for Teens	1	@	@	1	@	@	@	@	@	5	10	19	@	@	@	@	@	
2016 Stem Summer Experience/ Program It	1	@	@	1	@	@	@	@	@	8	9	10	@	@	@	@	@	
Drag & Drop Programming	1	@	@	1	@	@	@	@	@	36	@	@	@	@	@	@	@	
Code Central Station: HTML	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Code Breakers	1	@	@	1	@	@	@	@	@	13	18	20	@	@	@	@	@	
Code Breakers	1	@	@	1	@	@	@	@	@	13	18	20	@	@	@	@	@	
Code Central Station: Java	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Camp Beta: Problem Solving with Computing	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Cracking the AP Computer Science A exam in Java 	0	2	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Introduction to Java Programming Honors	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Introduction to Java Programming Honors	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Advanced Code Crew	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Pre-College Explorations @ Michigan Tech	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
coding in java	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Education Unlimited	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Learning to Code: Java Graphics	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Computer programming with Java	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Computer programming with Java	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
